(1,7.21919e-09)
(0.809015,0.587784)
(0.309017,0.951056)
(-0.309017,0.951056)
(-0.809015,0.587784)
(-1,0)
(-0.809015,-0.587784)
(-0.309017,-0.951056)
(0.309017,-0.951056)
(0.809015,-0.587784)
(1,1.00845e-07)
(0.809015,0.587784)
(0.309017,0.951056)
(-0.309017,0.951056)
(-0.809015,0.587784)
(-1,0)
(-0.809015,-0.587784)
(-0.309016,-0.951056)
(0.309017,-0.951056)
(0.809015,-0.587784)
(1,1.94472e-07)
(0.809015,0.587784)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809015,0.587784)
(-1,-4.76837e-07)
(-0.809015,-0.587784)
(-0.309016,-0.951056)
(0.309017,-0.951056)
(0.809015,-0.587784)
(1,2.88098e-07)
(0.809015,0.587784)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809015,0.587784)
(-1,-4.76837e-07)
(-0.809015,-0.587784)
(-0.309016,-0.951056)
(0.309017,-0.951056)
(0.809016,-0.587784)
(1,3.81724e-07)
(0.809015,0.587784)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809016,0.587784)
(-1,-4.76837e-07)
(-0.809015,-0.587785)
(-0.309016,-0.951056)
(0.309017,-0.951056)
(0.809016,-0.587783)
(1,4.7535e-07)
(0.809015,0.587784)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809016,0.587783)
(-1,-4.76837e-07)
(-0.809015,-0.587785)
(-0.309016,-0.951056)
(0.309017,-0.951056)
(0.809016,-0.587783)
(1,5.68976e-07)
(0.809015,0.587784)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809016,0.587783)
(-1,-7.15256e-07)
(-0.809015,-0.587785)
(-0.309016,-0.951056)
(0.309017,-0.951056)
(0.809016,-0.587783)
(1,6.62602e-07)
(0.809015,0.587785)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809016,0.587783)
(-1,-7.15256e-07)
(-0.809015,-0.587785)
(-0.309016,-0.951056)
(0.309017,-0.951056)
(0.809016,-0.587783)
(1,7.56229e-07)
(0.809015,0.587785)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809016,0.587783)
(-1,-7.15256e-07)
(-0.809015,-0.587785)
(-0.309016,-0.951056)
(0.309018,-0.951056)
(0.809016,-0.587783)
(1,8.49855e-07)
(0.809015,0.587785)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809016,0.587783)
(-1,-7.15256e-07)
(-0.809015,-0.587785)
(-0.309016,-0.951056)
(0.309018,-0.951056)
(0.809016,-0.587783)
(1,9.43481e-07)
(0.809015,0.587785)
(0.309016,0.951056)
(-0.309017,0.951056)
(-0.809016,0.587783)
